Name,Category,Sub-Category,Data Collection step,Id
No White Guilt	Alt-*	Alt-*	2	UCkY8CvV8WQFe87CZGmvuYHA
Be Open MInded	Alt-*	Alt-*	2	UCRRiIGO2htEoKTB73q9Mjsw
AIU-Resurrection	Alt-*	Alt-*	2	UCplXdu0g94UynzYCmO2zOjw
Tree Of Logic	Alt-*	Alt-*	2	UCl3RCEtooHD5bhPCHJw3btA
DailyKenn	Alt-*	Alt-*	2	UCbukZErY9SjdGTHabMzY7qg
Dismantle The Matrix	Alt-*	Alt-*	2	UCQZdMTHwIw_fZRk0wI8oqkQ
Nacionalista Blanco del SoCal	Alt-*	Alt-*	2	UCtBv3C8qTj7kaRGVu8UQfLQ
The Great Dolemite	Alt-*	Alt-*	2	UC2LSaEGBHvAvNf9ufcJfk2w
AltRight Truth	Alt-*	Alt-*	2	UC7tlcXIInkPG5aCkWB9lZOQ
Patrick Slattery	Alt-*	Alt-*	2	UCQB3Xg02E0MOlyfitgw2qhg
Luke Ford Livestreams	Alt-*	Alt-*	2	UCSFVD7Xfhn7sJY8LAIQmH8Q
TheSchillingShow	Alt-*	Alt-*	2	UCtLAZi2CZmDgwgQ51XpqcDQ
ArktosOnline	Alt-*	Alt-*	2	UC0h-sR-xyYLX7sSO46ovo2A
WhiteRabbitRadioTV	Alt-*	Alt-*	2	UCkXYznmArMELRxH_36uM1lQ
ramzpaul	Alt-*	Alt-*	2	UCIibK0GTXCaQCAamJAepm1g
Free Thinker Silver	Alt-*	Alt-*	2	UCwtGHPbMWBRvfGCyDQ-bNfQ
WhiteRabbitRadioTV	Alt-*	Alt-*	2	UCkXYznmArMELRxH_36uM1lQ
Traditionalist Youth Network	Alt-*	Alt-*	2	UCKmcfC22VcMbUMJAAWq9zdw
Corpus Mentis	Alt-*	Alt-*	2	UCvX0YZy3iET81JImRRKnAfQ
Dissident View	Alt-*	Alt-*	2	UCnXCniozJS4YQAM9n0ocKzQ
Truth Against The World	Alt-*	Alt-*	2	UCoWQunH1zvFa6u3IoMXQjRw
The Hateful Gaels	Alt-*	Alt-*	2	UCDhuG96y6kUT7tcFgHGj1Ug
The Last Stand	Alt-*	Alt-*	2	UCnxxPKzboofuvEjFGofkm9A
Semiogogue	Alt-*	Alt-*	2	UCck4tqn4wHb3jDhUn9dDVMg
Western Man	Alt-*	Alt-*	2	UC88rnCuWgaW5KX1zIKr3SUQ
Jan Kerkoff	Alt-*	Alt-*	2	UCK68w5LvF6DIOqZAU0uUqSQ
jackburton2009	Alt-*	Alt-*	2	UCGUg8tKiuqCM3ZCAy3XdmKA
The Rational Rise	Alt-*	Alt-*	2	UCdEfsAy6rUDPnm9HwKA_asg
Brother Nathanael	Alt-*	Alt-*	2	UCtBqVgzL_cDv_t9o2hFiXXg
6oodfella	Alt-*	Alt-*	2	UCBVYmXSIzHq_gXMZpsfd9kg
Tommy Robinson	Alt-*	Alt-*	2	UC6wdP5hTf_phre6Q3kFiV2g
On The Offensive	Alt-*	Alt-*	2	UCcrgJyI1bSysVE92HPpNNiw
Carpe Donktum	Alt-*	Alt-*	2	UCgkZARt0VNW7WKS5DOg8sDA
Harrison Hill Smith	Alt-*	Alt-*	2	UCq44SkRjuB4EOO-1pfOJzzA
Matthew North	Alt-*	Alt-*	2	UC66IBH4uFkBTzEh2olFFJSg
nightmarefuel	Alt-*	Alt-*	2	UCyOOQJzQSNMjFJqb3gQENtg
Patriotic Populist	Alt-*	Alt-*	2	UCFIyHT6yySaDiAUnqx_qNKg
The Fallen State	Alt-*	Alt-*	2	UCLrVxw4H4ZJ3LovpdbzF7bw
Help Me Believe	Alt-*	Alt-*	2	UCsHVE2H24t5QKIrwMRylifg
Zach Hing	Alt-*	Alt-*	2	UCKzrGgxorDwLcVKeaB7euvw
Wochit News	Alt-*	Alt-*	2	UCJmSX7ghommK3pwMLGNUvPA
UNITE AMERICA FIRST	Alt-*	Alt-*	2	UCNohUmuAnQa29YmaxzbaksA
Dinesh D'Souza	Alt-*	Alt-*	2	UC8GAOCAJxBL4bExaUCvwL4Q
Jacob Wohl	Alt-*	Alt-*	2	UCBw4kFsnixcIm3mef2cvfjg
Tipping Point With Liz Wheeler on OAN	Alt-*	Alt-*	2	UCMfKNuYXBc9bxb0fg2cGTBg
Zach Hing	Alt-*	Alt-*	2	UCKzrGgxorDwLcVKeaB7euvw
Stream Clips	Alt-*	Alt-*	2	UCWs35ztZWrw6pKc2dz3s0GA
Palmer Eldritch	Alt-*	Alt-*	2	UCTnN7rhfuycUklcFZCnKKrA
Anti-Social Media	Alt-*	Alt-*	2	UC2KAZE9bOba6qDxxCMMgzvw
The James Delingpole Channel	Alt-*	Alt-*	2	UCur6nu-T7FilkEztCm_S8yA
BlazeTV	Alt-*	Alt-*	2	UCKgJEs_v0JB-6jWb8lIy9Xw
Dangerfield	Alt-*	Alt-*	3	UCSkC7KNQHSSeOfRGtKgDm4A
The Lion	Alt-*	Alt-*	3	UCRAxuaq1xwUGuQ_KaOYbUXg
NeatoBurrito Productions	Alt-*	Alt-*	3	UCZtDKD0pFpPclXA7ZAti90w
Morrakiu	Alt-*	Alt-*	3	UCJpdwEg7vrj_61e0Bfnx02w
Prince of Zimbabwe	Alt-*	Alt-*	3	UCVO8YsD87ibqRGIJ7o8sOzg
Little Revolution	Alt-*	Alt-*	3	UCcAhXQl-YWTU9wzfm5R5t7g
14 Sacred Words	Alt-*	Alt-*	3	UCQHb0fs5LiCGf8E8o_duxNQ
jaydyer	Alt-*	Alt-*	3	UCnt7Iy8GlmdPwy_Tzyx93bA
TheBechtloff	Alt-*	Alt-*	3	UClQPwGSqpatKM-NZJ_DGfhw
The Daily Braap	Alt-*	Alt-*	3	UCBzqti45iz4YLZ4z8u1BuOQ
The Weekly Sweat	Alt-*	Alt-*	3	UC9azT7MBd3jU4DoTt0AW3gw
Laura Towler	Alt-*	Alt-*	3	UCRWRClsBI3p9gnYO8UBst2g
MichelleRempel	Alt-*	Alt-*	3	UCySf1uJJxjMDryRywEzUR2w
TRS Radio	Alt-*	Alt-*	3	UC9E2GVCdoEQGd1MN
nickmon1112	Alt-*	Alt-*	3	UCzoOMUc5bPOVcCrqyzVfn8Q
Dr. Steve Turley	Alt-*	Alt-*	3	UCCsiAKRKcgzA_372WbXNBaw
Martin Brodel	Alt-*	Alt-*	3	UCKWkoasaJMtC8bB1vq0AG8Q
